,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
78,Maharashtra,Jalgaon,1275590,SANGHAVI TRADING COMPANY,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,13.85,2024-01-11,
79,Maharashtra,Jalgaon,1275590,SANGHAVI TRADING COMPANY,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,16.75,2024-01-11,
80,Maharashtra,Jalgaon,1275590,SANGHAVI TRADING COMPANY,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,41.85,2024-01-11,
81,Maharashtra,Jalgaon,104546,Sanghvi Trading Co.,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),4.475,2024-01-11,
82,Maharashtra,Jalgaon,104598,Vijay Agro Centre,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),5.175,2024-01-11,
83,Maharashtra,Jalgaon,104604,Vishnu Ksk,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.025,2024-01-11,
84,Maharashtra,Jalgaon,104604,Vishnu Ksk,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
85,Maharashtra,Jalgaon,104604,Vishnu Ksk,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,6.9,2024-01-11,
86,Maharashtra,Jalgaon,104604,Vishnu Ksk,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),7.035,2024-01-11,
87,Maharashtra,Jalna,459049,R K Babu Trading Private Ltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.016,2024-01-11,
88,Maharashtra,Jalna,459049,R K Babu Trading Private Ltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,15.65,2024-01-11,
89,Maharashtra,Jalna,459049,R K Babu Trading Private Ltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,27.7,2024-01-11,
90,Maharashtra,Jalna,293534, Shetakari Krishi Seva Kendra.,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),5.94,2024-01-11,
91,Maharashtra,Jalna,222646,Vinayak Krishi  Kendra ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,13.0,2024-01-11,
92,Maharashtra,Jalna,222646,Vinayak Krishi  Kendra ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,4.7,2024-01-11,
93,Maharashtra,Jalna,222646,Vinayak Krishi  Kendra ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,4.75,2024-01-11,
94,Maharashtra,Kolhapur,1227723,ANNAPPA FERTILIZERS STATE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),54.45,2024-01-11,
95,Maharashtra,Kolhapur,245172, Deeplaxmi Seeds And Fertilise,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),15.975,2024-01-11,
96,Maharashtra,Kolhapur,245175,Hatkanangle Tal.S.K.V.Sangh Ltd.,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),47.125,2024-01-11,
97,Maharashtra,Kolhapur,245175,Hatkanangle Tal.S.K.V.Sangh Ltd.,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,12.55,2024-01-11,
98,Maharashtra,Kolhapur,245175,Hatkanangle Tal.S.K.V.Sangh Ltd.,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 12-32-16,13.1,2024-01-11,
99,Maharashtra,Kolhapur,245175,Hatkanangle Tal.S.K.V.Sangh Ltd.,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported DAP,3.0,2024-01-11,
100,Maharashtra,Kolhapur,463053,Jambhali Khora Ksk,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),24.435,2024-01-11,
101,Maharashtra,Kolhapur,463053,Jambhali Khora Ksk,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,2.5,2024-01-11,
102,Maharashtra,Kolhapur,448248,Krushna Godavari Kbbuvvss Ltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),291.78,2024-01-11,
103,Maharashtra,Kolhapur,554679,Krushna Godavari K Bbuvvssltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),16.965,2024-01-11,
104,Maharashtra,Kolhapur,554679,Krushna Godavari K Bbuvvssltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,9.5,2024-01-11,
105,Maharashtra,Kolhapur,554679,Krushna Godavari K Bbuvvssltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,1.0,2024-01-11,
106,Maharashtra,Kolhapur,245216,Mahalaxmi Fertilisers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),56.015,2024-01-11,
107,Maharashtra,Kolhapur,245216,Mahalaxmi Fertilisers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,1.5,2024-01-11,
108,Maharashtra,Kolhapur,288519,M.A.I.D.C,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.15,2024-01-11,
109,Maharashtra,Kolhapur,497217,Parsewar Fertilisers&Chemicals,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),29.61,2024-01-11,
110,Maharashtra,Kolhapur,245223,Rayat Seva Krishi Udyog Sahaka,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),109.35,2024-01-11,
111,Maharashtra,Kolhapur,1227837,SAMARTH AGRO INDUSTRIES BHAMTE,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.15,2024-01-11,
